Class,Accuracy (%)
apple,57.0
aquarium_fish,51.0
baby,23.0
bear,16.0
beaver,10.0
bed,33.0
bee,38.0
beetle,16.0
bicycle,55.0
bottle,55.0
bowl,31.0
boy,25.0
bridge,58.0
bus,14.0
butterfly,31.0
camel,23.0
can,45.0
castle,70.0
caterpillar,40.0
cattle,33.0
chair,79.0
chimpanzee,53.0
clock,34.0
cloud,52.0
cockroach,64.0
couch,28.0
crab,20.0
crocodile,24.0
cup,59.0
dinosaur,41.0
dolphin,35.0
elephant,39.0
flatfish,18.0
forest,39.0
fox,13.0
girl,4.0
hamster,31.0
house,31.0
kangaroo,20.0
keyboard,66.0
lamp,37.0
lawn_mower,66.0
leopard,52.0
lion,38.0
lizard,20.0
lobster,22.0
man,32.0
maple_tree,59.0
motorcycle,75.0
mountain,77.0
mouse,18.0
mushroom,24.0
oak_tree,68.0
orange,73.0
orchid,59.0
otter,5.0
palm_tree,67.0
pear,40.0
pickup_truck,66.0
pine_tree,20.0
plain,77.0
plate,57.0
poppy,42.0
porcupine,43.0
possum,13.0
rabbit,11.0
raccoon,19.0
ray,33.0
road,83.0
rocket,70.0
rose,27.0
sea,64.0
seal,10.0
shark,46.0
shrew,17.0
skunk,75.0
skyscraper,73.0
snail,31.0
snake,27.0
spider,29.0
squirrel,11.0
streetcar,72.0
sunflower,81.0
sweet_pepper,37.0
table,31.0
tank,51.0
telephone,44.0
television,53.0
tiger,32.0
tractor,39.0
train,17.0
trout,65.0
tulip,5.0
turtle,3.0
wardrobe,84.0
whale,47.0
willow_tree,38.0
wolf,46.0
woman,19.0
worm,46.0

Overall Accuracy,40.6
